file,source_file,type,classification,evidence_line,sha256,staged_matches_current
tables.h,engine/doomgeneric/doomgeneric/tables.h,h,GPL-2.0-or-later,8,ee5193ce0c4013295a502b2aefee8acd415aa09d5aaeee46bfd19aaf661566f5,true
v_patch.h,engine/doomgeneric/doomgeneric/v_patch.h,h,GPL-2.0-or-later,7,31e9421d9d89ab5427e02097bcadbe3c8d993cebd37afbe3b71c7712e9e3f9c0,true
v_video.c,engine/doomgeneric/doomgeneric/v_video.c,c,GPL-2.0-or-later,8,df6798dbe338935d8def3b35a7918e9e8a5571712ef806d85d30016bcad1b630,true
v_video.h,engine/doomgeneric/doomgeneric/v_video.h,h,GPL-2.0-or-later,7,5d02631413f33dc267232173373756bdee74f4182973f84047877a9cd0979dc6,true
w_checksum.c,engine/doomgeneric/doomgeneric/w_checksum.c,c,GPL-2.0-or-later,7,64d609319670e09d806593e4187fa67c74ec97d1522001d23bd6b0c85239cc3e,true
w_checksum.h,engine/doomgeneric/doomgeneric/w_checksum.h,h,GPL-2.0-or-later,7,62b8df6ce67c82464885252408e913e01d1bf2a7d95a28391f92650083f75353,true
w_file.c,engine/doomgeneric/doomgeneric/w_file.c,c,GPL-2.0-or-later,10,88af1f5759d0ea5260a3798cc188e741e08b656c82c75a6b813e6cd5e178481e,true
w_file.h,engine/doomgeneric/doomgeneric/w_file.h,h,GPL-2.0-or-later,7,d0558e2f76347b4f40bd68743ce2434aa18a5a9be32a56e72754f4b1bc986665,true
w_main.c,engine/doomgeneric/doomgeneric/w_main.c,c,GPL-2.0-or-later,7,88ab7ced2f11293a2c5861ee20f7662aec17d0913c14af57ad12752f7166b15e,true
w_main.h,engine/doomgeneric/doomgeneric/w_main.h,h,GPL-2.0-or-later,6,d41d5e75b6f9634cba56c538837f17f393ac89f87b3550d6d52bf7749aa271a4,true
w_merge.h,engine/doomgeneric/doomgeneric/w_merge.h,h,GPL-2.0-or-later,6,d6a3087dd664be5c1e1b0c492fe3526b668172ae2b9ce0a836ecc4a5e013bbb3,true
w_wad.c,engine/doomgeneric/doomgeneric/w_wad.c,c,GPL-2.0-or-later,7,5b0648e9313c67e6e3d1e597379dc68f041b096d498c00bb8881d14c7afc567e,true
w_wad.h,engine/doomgeneric/doomgeneric/w_wad.h,h,GPL-2.0-or-later,7,657d8b5375201e43e530c998e4a45137d3ffba379d37cf7bf6cb492c790eaeea,true
wi_stuff.c,engine/doomgeneric/doomgeneric/wi_stuff.c,c,GPL-2.0-or-later,7,80074bf88fa2c6a87ab3897a4a70fdc4baca3f59ce137abdf88d86c261ce28df,true
wi_stuff.h,engine/doomgeneric/doomgeneric/wi_stuff.h,h,GPL-2.0-or-later,7,d56aa90e40ebfc8dda42fb4e4098000950694906d5afd5520021e8c1e6a13113,true
z_zone.c,engine/doomgeneric/doomgeneric/z_zone.c,c,GPL-2.0-or-later,7,bd39dfa594ef31c8e65ee46964b0033289399bdd289a54e5e201c235401bc558,true
z_zone.h,engine/doomgeneric/doomgeneric/z_zone.h,h,GPL-2.0-or-later,7,c0ce6837f3d84cee9092675fa0ed7bd9df6dbeff82757b3ff3fa1dab13a51f05,true
