file,source_file,type,classification,evidence_line,sha256,staged_matches_current
f_finale.c,engine/doomgeneric/doomgeneric/f_finale.c,c,GPL-2.0-or-later,7,77a4c6550fd66f633aa336e9ce0f51278bc732ff8340b41367eb3ae14d61d6d0,true
f_finale.h,engine/doomgeneric/doomgeneric/f_finale.h,h,GPL-2.0-or-later,7,6dbe4ea7d9f3fb1575ceb61129fa1daafb5299df3376445b391f20d7ba7caab5,true
f_wipe.c,engine/doomgeneric/doomgeneric/f_wipe.c,c,GPL-2.0-or-later,7,c9a3cc5b2450626b8a7d5f125562c8fa6835a3cd25b5488578c92bca4823d131,true
f_wipe.h,engine/doomgeneric/doomgeneric/f_wipe.h,h,GPL-2.0-or-later,7,a6eebd7fa24efa1d173f5c13ffeb02104b1c2762ceecd15db828878bb2ccd019,true
g_game.c,engine/doomgeneric/doomgeneric/g_game.c,c,GPL-2.0-or-later,9,80f57cd0615133a976408cb803a8cd5a64a054c9c50fe6068c804dc60ca15e5d,true
g_game.h,engine/doomgeneric/doomgeneric/g_game.h,h,GPL-2.0-or-later,7,b86a0c1d87a2c135c31a090b3f1a09b27e7ac0d40d3c8efff570c0d51dd4b5b7,true
hu_lib.c,engine/doomgeneric/doomgeneric/hu_lib.c,c,GPL-2.0-or-later,7,d1970e06d111461c39455566587c1cbc2a67bd24e2ec34955f3d88755710ca3b,true
hu_lib.h,engine/doomgeneric/doomgeneric/hu_lib.h,h,GPL-2.0-or-later,7,d4e65e711f050d2b01939e91c90468e7a1139fa3f25bf51684e57a67e030850f,true
hu_stuff.c,engine/doomgeneric/doomgeneric/hu_stuff.c,c,GPL-2.0-or-later,7,6a97ff98447bbc499628b4bf276e7a542f5d9c5a691e4c95987bb05c725df940,true
hu_stuff.h,engine/doomgeneric/doomgeneric/hu_stuff.h,h,GPL-2.0-or-later,7,90581fce7674d136bdeaba5ca7d91345bef7acaa94264fcb1ff343828b61a7e3,true
i_cdmus.c,engine/doomgeneric/doomgeneric/i_cdmus.c,c,GPL-2.0-or-later,7,acf6d431759ef215f9cbc4dc05ab860db07dfbd0129d358861f3993edd389d2d,true
i_cdmus.h,engine/doomgeneric/doomgeneric/i_cdmus.h,h,GPL-2.0-or-later,7,93145177f2cb14bfccc6638c105cf4ec821de9629556c5557dead44c3501befb,true
i_endoom.c,engine/doomgeneric/doomgeneric/i_endoom.c,c,GPL-2.0-or-later,6,45ec746d1b91cce12cc4c6d740b1dd80ffe35a78e095f1472e442bf9b47af90c,true
i_endoom.h,engine/doomgeneric/doomgeneric/i_endoom.h,h,GPL-2.0-or-later,7,506e0e6761c696f4f7a5f5627aaa9bb5fb3c23d79c00682e13a85f7c92cdae1d,true
i_input.c,engine/doomgeneric/doomgeneric/i_input.c,c,GPL-2.0-or-later,7,0065992e68d6c13fe0c6f3c87897d341818e36eff361eac4809bf210f894151d,true
